assetIssued,paymentDate,rate,relatedTo,approvedOn,isinCode,label,lastDatePrior,remarks,code
BRMCHFCTF003,2022-02-17,0.11,Janeiro/2022,2022-02-10,BRMCHFCTF003,RENDIMENTO,2022-02-10,,MCHF
BRPLCACTF009,2023-01-13,1.1,Dezembro/2022,2022-12-29,BRPLCACTF009,RENDIMENTO,2022-12-29,,PLCA
BRPLCACTF009,2022-12-14,1.07,Novembro/2022,2022-11-30,BRPLCACTF009,RENDIMENTO,2022-11-30,,PLCA
BRPLCACTF009,2022-11-16,1.07,Outubro/2022,2022-10-31,BRPLCACTF009,RENDIMENTO,2022-10-31,,PLCA
BRPLCACTF009,2022-10-17,1.05,Setembro/2022,2022-09-30,BRPLCACTF009,RENDIMENTO,2022-09-30,,PLCA
BRPLCACTF009,2022-09-15,0.9,Agosto/2022,2022-08-31,BRPLCACTF009,RENDIMENTO,2022-08-31,,PLCA
BRBRIMCTF008,2022-12-14,8.86,11/2022/2022,2022-11-30,BRBRIMCTF008,RENDIMENTO,2022-11-30,,BRIM
BRBRIMCTF008,2022-10-17,15.0,Setembro/2022,2022-09-30,BRBRIMCTF008,RENDIMENTO,2022-09-30,,BRIM
BRBRIMCTF008,2022-09-15,27.0,Agosto/2022,2022-08-31,BRBRIMCTF008,RENDIMENTO,2022-08-31,,BRIM
BRBRIMCTF008,2022-08-12,14.5,Julho/2022,2022-07-29,BRBRIMCTF008,RENDIMENTO,2022-07-29,,BRIM
BRBRIMCTF008,2022-06-14,40.277978,Maio/2022,2022-05-31,BRBRIMCTF008,AMORTIZACAO RF,2022-05-31,,BRIM
BRBRIMCTF008,2022-04-14,48.0,Março/2022,2022-03-31,BRBRIMCTF008,RENDIMENTO,2022-03-31,,BRIM
BRBRIMCTF008,2022-03-15,12.1,Fevereiro/2022,2022-02-25,BRBRIMCTF008,RENDIMENTO,2022-02-25,,BRIM
