assetIssued,paymentDate,rate,relatedTo,approvedOn,isinCode,label,lastDatePrior,remarks,code
BRHGPOCTF009,2022-07-14,1.35,Junho/2022,2022-06-30,BRHGPOCTF009,RENDIMENTO,2022-06-30,,HGPO
BRHGPOCTF009,2022-06-14,1.35,Maio/2022,2022-05-31,BRHGPOCTF009,RENDIMENTO,2022-05-31,,HGPO
BRHGPOCTF009,2022-05-13,1.35,Abril/2022,2022-04-29,BRHGPOCTF009,RENDIMENTO,2022-04-29,,HGPO
BRHGPOCTF009,2022-04-14,1.35,Março/2022,2022-03-31,BRHGPOCTF009,RENDIMENTO,2022-03-31,,HGPO
BRHGPOCTF009,2022-03-15,1.35,Fevereiro/2022,2022-02-25,BRHGPOCTF009,RENDIMENTO,2022-02-25,,HGPO
BRHGPOCTF009,2022-02-14,1.35,Janeiro/2022,2022-01-31,BRHGPOCTF009,RENDIMENTO,2022-01-31,,HGPO
BRJPPACTF005,2023-01-13,1.41,DEZEMBRO/2022,2022-12-29,BRJPPACTF005,RENDIMENTO,2022-12-29,,JPPA
BRJPPAR02M14,2023-01-13,1.41,DEZEMBRO/2022,2022-12-29,BRJPPAR02M14,RENDIMENTO,2022-12-29,,JPPA
BRJPPAR03M13,2023-01-13,1.41,DEZEMBRO/2022,2022-12-29,BRJPPAR03M13,RENDIMENTO,2022-12-29,,JPPA
BRJPPAR04M12,2023-01-13,1.34,DEZEMBRO/2022,2022-12-29,BRJPPAR04M12,RENDIMENTO,2022-12-29,,JPPA
BRJPPAR05M11,2023-01-13,0.05,DEZEMBRO/2022,2022-12-29,BRJPPAR05M11,RENDIMENTO,2022-12-29,,JPPA
BRJPPACTF005,2022-12-14,1.4,NOVEMBRO/2022,2022-11-30,BRJPPACTF005,RENDIMENTO,2022-11-30,,JPPA
BRJPPAR02M14,2022-12-14,1.4,NOVEMBRO/2022,2022-11-30,BRJPPAR02M14,RENDIMENTO,2022-11-30,,JPPA
BRJPPAR03M13,2022-12-14,0.6,NOVEMBRO/2022,2022-11-30,BRJPPAR03M13,RENDIMENTO,2022-11-30,,JPPA
BRJPPACTF005,2022-11-16,1.5,OUTUBRO/2022,2022-10-31,BRJPPACTF005,RENDIMENTO,2022-10-31,,JPPA
BRJPPAR02M14,2022-11-16,0.04,OUTUBRO/2022,2022-10-31,BRJPPAR02M14,RENDIMENTO,2022-10-31,,JPPA
BRJPPACTF005,2022-10-17,1.55,SETEMBRO/2022,2022-09-30,BRJPPACTF005,RENDIMENTO,2022-09-30,,JPPA
BRJPPACTF005,2022-09-15,1.65,AGOSTO/2022,2022-08-31,BRJPPACTF005,RENDIMENTO,2022-08-31,,JPPA
BRJPPACTF005,2022-08-12,1.77,JULHO/2022,2022-07-29,BRJPPACTF005,RENDIMENTO,2022-07-29,,JPPA
BRJPPACTF005,2022-07-08,2.04,06-2022/2022,2022-06-30,BRJPPACTF005,RENDIMENTO,2022-06-30,,JPPA
BRJPPACTF005,2022-06-08,2.0,05-2022/2022,2022-05-31,BRJPPACTF005,RENDIMENTO,2022-05-31,,JPPA
BRJPPACTF005,2022-05-09,1.8,04-2022/2022,2022-04-29,BRJPPACTF005,RENDIMENTO,2022-04-29,,JPPA
BRJPPACTF005,2022-04-08,1.55,03-2022/2022,2022-03-31,BRJPPACTF005,RENDIMENTO,2022-03-31,,JPPA
BRJPPACTF005,2022-03-09,1.5,02-2022/2022,2022-02-25,BRJPPACTF005,RENDIMENTO,2022-02-25,,JPPA
BRJPPACTF005,2022-02-08,1.2,01-2022/2022,2022-01-31,BRJPPACTF005,RENDIMENTO,2022-01-31,,JPPA
BRCCMECTF007,2023-01-16,0.99,Dezembro-2022/2023,2023-01-09,BRCCMECTF007,RENDIMENTO,2023-01-09,,CCME
BRCCMECTF007,2022-12-15,0.85,Novembro-2022/2022,2022-12-08,BRCCMECTF007,RENDIMENTO,2022-12-08,,CCME
BRCCMECTF007,2022-11-17,0.85,Outubro-2022/2022,2022-11-09,BRCCMECTF007,RENDIMENTO,2022-11-09,,CCME
BRCCMER01M16,2022-10-18,0.77,Setembro-2022/2022,2022-10-10,BRCCMER01M16,RENDIMENTO,2022-10-10,,CCME
BRCCMER02M15,2022-10-18,0.77,Setembro-2022/2022,2022-10-10,BRCCMER02M15,RENDIMENTO,2022-10-10,,CCME
BRCCMER03M14,2022-10-18,0.441943478,Setembro-2022/2022,2022-10-10,BRCCMER03M14,RENDIMENTO,2022-10-10,,CCME
BRCCMER01M16,2022-09-16,0.77,Agosto/2022,2022-09-09,BRCCMER01M16,RENDIMENTO,2022-09-09,,CCME
BRCCMER02M15,2022-09-16,0.77,Agosto/2022,2022-09-09,BRCCMER02M15,RENDIMENTO,2022-09-09,,CCME
BRCCMER01M16,2022-08-15,0.75,Julho/2022,2022-08-08,BRCCMER01M16,RENDIMENTO,2022-08-08,,CCME
BRCCMER02M15,2022-08-15,0.75,Julho/2022,2022-08-08,BRCCMER02M15,RENDIMENTO,2022-08-08,,CCME
BRCCMER01M16,2022-07-15,1.14800826,Junho/2022,2022-07-08,BRCCMER01M16,RENDIMENTO,2022-07-08,,CCME
BRCCMER02M15,2022-07-15,0.496662972,Junho/2022,2022-07-08,BRCCMER02M15,RENDIMENTO,2022-07-08,,CCME
BRFISCCTF008,2023-01-13,0.37,DEZEMBRO/2022/2023,2023-01-05,BRFISCCTF008,RENDIMENTO,2023-01-05,,FISC
BRFISCCTF008,2022-12-14,0.24,NOVEMBRO/2022/2022,2022-12-06,BRFISCCTF008,RENDIMENTO,2022-12-06,,FISC
BRFISCCTF008,2022-11-16,0.24,OUTUBRO/2022/2022,2022-11-07,BRFISCCTF008,RENDIMENTO,2022-11-07,,FISC
BRFISCCTF008,2022-10-17,0.24,SETEMBRO/2022/2022,2022-10-06,BRFISCCTF008,RENDIMENTO,2022-10-06,,FISC
BRCPFFCTF000,2023-01-17,0.6,Dezembro-2022/2023,2023-01-09,BRCPFFCTF000,RENDIMENTO,2023-01-09,,CPFF
BRCPFFCTF000,2022-12-16,0.6,Novembro-2022/2022,2022-12-08,BRCPFFCTF000,RENDIMENTO,2022-12-08,,CPFF
BRCPFFCTF000,2022-11-18,0.62,Outubro-2022/2022,2022-11-09,BRCPFFCTF000,RENDIMENTO,2022-11-09,,CPFF
BRCPFFCTF000,2022-10-19,0.6,Setembro-2022/2022,2022-10-10,BRCPFFCTF000,RENDIMENTO,2022-10-10,,CPFF
BRCPFFCTF000,2022-09-19,0.62,Agosto/2022,2022-09-09,BRCPFFCTF000,RENDIMENTO,2022-09-09,,CPFF
BRCPFFCTF000,2022-08-16,0.6,Julho/2022,2022-08-08,BRCPFFCTF000,RENDIMENTO,2022-08-08,,CPFF
BRCPFFCTF000,2022-07-18,0.6,Junho/2022,2022-07-08,BRCPFFCTF000,RENDIMENTO,2022-07-08,,CPFF
BRCPFFCTF000,2022-06-17,0.62,Maio/2022,2022-06-08,BRCPFFCTF000,RENDIMENTO,2022-06-08,,CPFF
BRCPFFCTF000,2022-05-17,0.6,Abril/2022,2022-05-09,BRCPFFCTF000,RENDIMENTO,2022-05-09,,CPFF
BRCPFFCTF000,2022-04-19,0.6,Março/2022,2022-04-08,BRCPFFCTF000,RENDIMENTO,2022-04-08,,CPFF
BRCPFFCTF000,2022-03-16,0.63,Fevereiro/2022,2022-03-09,BRCPFFCTF000,RENDIMENTO,2022-03-09,,CPFF
BRCPFFCTF000,2022-02-16,0.71,Janeiro/2022,2022-02-08,BRCPFFCTF000,RENDIMENTO,2022-02-08,,CPFF
BRCPFFCTF000,2020-09-17,0.5,Agosto/2020,2020-09-09,BRCPFFCTF000,AMORTIZACAO RF,2020-09-09,,CPFF
BRRBDSCTF006,2021-07-12,2.35414346038,JUNHO/2021,2021-06-30,BRRBDSCTF006,RENDIMENTO,2021-06-30,,RBDS
BRRBDSCTF006,2020-05-12,3.9518506517,ABRIL/2020,2020-04-30,BRRBDSCTF006,AMORTIZACAO RF,2020-04-30,,RBDS
BRRNGOCTF003,2023-01-13,0.43,Dezembro/2022,2022-12-29,BRRNGOCTF003,RENDIMENTO,2022-12-29,,RNGO
BRRNGOCTF003,2022-12-14,0.43,Novembro/2022,2022-11-30,BRRNGOCTF003,RENDIMENTO,2022-11-30,,RNGO
BRRNGOCTF003,2022-11-16,0.43,Outubro/2022,2022-10-31,BRRNGOCTF003,RENDIMENTO,2022-10-31,,RNGO
