assetIssued,percentage,priceUnit,tradingPeriod,subscriptionDate,approvedOn,isinCode,label,lastDatePrior,remarks,code
BRRBHYCTF005,,,31/12/9999 a 24/02/2022,2022-03-03,2022-02-08,BRRBHYCTF005,SUBSCRICAO,2022-02-11,,RBHY
BRXPSFCTF009,,,31/12/9999 a 03/11/2020,2020-11-06,2020-10-16,BRXPSFCTF009,SUBSCRICAO,2020-10-21,,XPSF
BRBCRICTF009,,,31/12/9999 a 14/06/2021,2021-06-17,2021-05-26,BRBCRICTF009,SUBSCRICAO,2021-05-31,,BCRI
BRLOFTCTF021,,,31/12/9999 a 18/10/2019,2019-10-25,2019-10-09,BRLOFTCTF005,SUBSCRICAO,2019-10-09,,LOFT
BRCXTLCTF003,,,31/12/9999 a 10/04/2019,2019-04-17,2019-03-29,BRCXTLCTF003,SUBSCRICAO,2019-03-29,,CXTL
BRKNSCCTF008,,,18/02/2022 a 02/03/2022,2022-03-07,2022-01-26,BRKNSCCTF008,SUBSCRICAO,2022-02-16,,KNSC
BRSHDPCTF007,,,31/12/9999 a 17/05/2022,2022-05-20,2022-05-02,BRSHDPCTF007,SUBSCRICAO,2022-05-05,,SHDP
BRFIIBCTF001,,,31/08/2016 a 06/09/2016,2016-09-14,2016-08-25,BRFIIBCTF001,SUBSCRICAO,2016-08-25,,FIIB
BRSDILCTF004,,,03/09/2021 a 14/09/2021,2021-09-17,2021-03-23,BRSDILCTF004,SUBSCRICAO,2021-08-27,,SDIL
BRDOVLCTF006,,,31/12/9999 a 07/04/2022,2022-04-12,2022-03-24,BRDOVLCTF006,SUBSCRICAO,2022-03-28,,DOVL
BRBRCOCTF007,,,06/11/2020 a 16/11/2020,2020-11-19,2020-09-25,BRBRCOCTF007,SUBSCRICAO,2020-11-03,,BRCO
BRNCHBCTF000,,,31/12/9999 a 24/11/2022,2022-11-29,2022-11-07,BRNCHBCTF000,SUBSCRICAO,2022-11-10,,NCHB
BRNCHBCTF000,,,31/12/9999 a 31/05/2022,2022-06-03,2022-05-13,BRNCHBCTF000,SUBSCRICAO,2022-05-18,,NCHB
BRFLRPCTF006,,,31/12/9999 a 01/07/2020,2020-07-06,2020-06-10,BRFLRPCTF006,SUBSCRICAO,2020-06-16,,FLRP
BRBARICTF003,,,03/02/2021 a 11/02/2021,2021-02-18,2020-09-02,BRBARICTF003,SUBSCRICAO,2021-01-27,,BARI
BRVLJSCTF038,,,31/12/9999 a 21/11/2018,2018-11-28,2018-11-07,BRVLJSCTF012,SUBSCRICAO,2018-11-07,,VLJS
BRVLJSCTF038,,,31/12/9999 a 21/11/2018,2018-11-28,2018-11-07,BRVLJSCTF020,SUBSCRICAO,2018-11-07,,VLJS
BRCYCRCTF004,,,16/05/2022 a 24/05/2022,2022-05-27,2022-02-18,BRCYCRCTF004,SUBSCRICAO,2022-05-12,,CYCR
BRCPTSCTF004,,,31/12/9999 a 22/04/2022,2022-04-27,2022-04-05,BRCPTSCTF004,SUBSCRICAO,2022-04-08,,CPTS
BRCACRCTF004,,,31/12/9999 a 11/05/2022,2022-05-16,2022-04-27,BRCACRCTF004,SUBSCRICAO,2022-04-29,,CACR
BRFIGSCTF009,,,31/12/9999 a 03/12/2019,2019-12-10,2019-11-18,BRFIGSCTF009,SUBSCRICAO,2019-11-19,,FIGS
BRTORDCTF015,,,31/12/9999 a 12/05/2021,2021-05-17,2021-04-16,BRTORDCTF015,SUBSCRICAO,2021-04-23,,TORD
BRMGCRCTF000,,,31/03/2021 a 13/04/2021,2021-04-16,2021-03-05,BRMGCRCTF000,SUBSCRICAO,2021-03-24,,MGCR
BRMGCRCTF000,,,31/03/2021 a 13/04/2021,2021-04-16,2021-03-05,BRMGCRR02M16,SUBSCRICAO,2021-03-24,,MGCR
BRMGCRCTF000,,,31/03/2021 a 13/04/2021,2021-04-16,2021-03-05,BRMGCRR03M15,SUBSCRICAO,2021-03-24,,MGCR
BRMGCRCTF000,,,31/03/2021 a 13/04/2021,2021-04-16,2021-03-05,BRMGCRR04M14,SUBSCRICAO,2021-03-24,,MGCR
BRMGCRCTF000,,,31/03/2021 a 13/04/2021,2021-04-16,2021-03-05,BRMGCRR05M13,SUBSCRICAO,2021-03-24,,MGCR
BRLIFECTF017,,,31/12/9999 a 02/12/2022,2022-12-07,2022-11-16,BRLIFECTF017,SUBSCRICAO,2022-11-21,,LIFE
BRMCCICTF008,,,25/10/2022 a 03/11/2022,2022-11-08,2022-09-14,BRMCCICTF008,SUBSCRICAO,2022-10-21,,MCCI
BRMCCICTF008,,,31/12/9999 a 14/04/2022,2022-04-20,2022-03-28,BRMCCICTF008,SUBSCRICAO,2022-03-31,,MCCI
BRTRXFCTF003,,,31/12/9999 a 27/10/2022,2022-11-01,2022-10-06,BRTRXFCTF003,SUBSCRICAO,2022-10-14,,TRXF
BRTRXFCTF003,,,31/12/9999 a 06/07/2022,2022-07-11,2022-06-20,BRTRXFCTF003,SUBSCRICAO,2022-06-23,,TRXF
BRJSRECTF007,,,31/12/9999 a 21/01/2020,2020-01-24,2019-12-12,BRJSRECTF007,SUBSCRICAO,2019-12-20,,JSRE
BRJUROCTF002,,,31/12/9999 a 06/12/2022,2022-12-09,2022-11-21,BRJUROCTF002,SUBSCRICAO,2022-11-24,,JURO
BRJUROCTF002,,,14/09/2022 a 22/09/2022,2022-09-27,2022-06-24,BRJUROCTF002,SUBSCRICAO,2022-09-09,,JURO
BRJUROCTF002,,,31/12/9999 a 26/04/2022,2022-04-29,2022-04-07,BRJUROCTF002,SUBSCRICAO,2022-04-12,,JURO
BRGCRACTF005,,,31/12/9999 a 21/06/2022,2022-06-24,2022-05-13,BRGCRACTF005,SUBSCRICAO,2022-06-07,,GCRA
BRCVBICTF001,,,31/12/9999 a 06/05/2022,2022-05-11,2022-04-20,BRCVBICTF001,SUBSCRICAO,2022-04-26,,CVBI
BRHRECCTF005,,,12/07/2022 a 20/07/2022,2022-07-25,2022-06-01,BRHRECCTF005,SUBSCRICAO,2022-07-08,,HREC
BRHGCRCTF000,,,15/09/2022 a 23/09/2022,2022-09-28,2022-07-27,BRHGCRCTF000,SUBSCRICAO,2022-09-12,,HGCR
BRHGCRCTF000,,,31/12/9999 a 04/03/2022,2022-03-09,2022-02-11,BRHGCRCTF000,SUBSCRICAO,2022-02-16,,HGCR
BRMGLGCTF004,,,31/12/9999 a 17/05/2022,2022-05-20,2022-05-02,BRMGLGCTF004,SUBSCRICAO,2022-05-04,,MGLG
BRGCFFCTF009,,,17/11/2020 a 25/11/2020,2020-11-30,2020-09-01,BRGCFFCTF009,SUBSCRICAO,2020-11-10,,GCFF
BRRBVACTF006,,,31/12/9999 a 09/12/2021,2021-12-14,2021-11-03,BRRBVACTF006,SUBSCRICAO,2021-11-08,,RBVA
BRNSLUCTF008,,,31/12/9999 a 12/04/2022,2022-04-18,2022-03-30,BRNSLUCTF008,SUBSCRICAO,2022-03-31,,NSLU
BRARRICTF009,,,31/12/9999 a 08/02/2023,2023-02-13,2022-12-21,BRARRICTF009,SUBSCRICAO,2023-01-20,,ARRI
BRARRICTF009,,,31/12/9999 a 14/10/2022,2022-10-19,2022-09-27,BRARRICTF009,SUBSCRICAO,2022-10-03,,ARRI
BRARRICTF009,,,31/12/9999 a 20/04/2022,2022-04-26,2022-03-30,BRARRICTF009,SUBSCRICAO,2022-04-06,,ARRI
BRVCRACTF004,,,16/11/2022 a 25/11/2022,2022-11-30,2022-09-30,BRVCRACTF004,SUBSCRICAO,2022-11-11,,VCRA
BRHCSTCTF001,,,31/12/9999 a 21/06/2022,2022-06-24,2022-06-03,BRHCSTCTF001,SUBSCRICAO,2022-06-08,,HCST
BRVGHFCTF005,,,31/12/9999 a 30/05/2022,2022-06-02,2022-05-13,BRVGHFCTF005,SUBSCRICAO,2022-05-18,,VGHF
BRVGHFCTF005,,,07/03/2022 a 15/03/2022,2022-03-18,2022-01-26,BRVGHFCTF005,SUBSCRICAO,2022-03-03,,VGHF
BRHSMLCTF007,,,28/10/2019 a 01/11/2019,2019-11-08,2019-10-01,BRHSMLCTF007,SUBSCRICAO,2019-10-21,,HSML
BRVPSICTF007,,,31/12/9999 a 30/10/2018,2018-11-07,2018-10-26,BRVPSICTF007,SUBSCRICAO,2018-10-26,,VPSI
BRRZAKCTF008,,,12/01/2023 a 20/01/2023,2023-01-25,2023-01-05,BRRZAKCTF008,SUBSCRICAO,2023-01-10,,RZAK
BRRZAKCTF008,,,31/12/9999 a 16/11/2022,2022-11-21,2022-10-28,BRRZAKCTF008,SUBSCRICAO,2022-11-03,,RZAK
BRRZAKCTF008,,,31/12/9999 a 19/05/2022,2022-05-24,2022-05-05,BRRZAKCTF008,SUBSCRICAO,2022-05-09,,RZAK
BRSHOPCTF004,,,31/12/9999 a 16/07/2019,2019-07-23,2019-07-02,BRSHOPCTF004,SUBSCRICAO,2019-07-03,,SHOP
BRFGAACTF004,,,30/05/2022 a 07/06/2022,2022-06-10,2022-04-14,BRFGAACTF004,SUBSCRICAO,2022-05-25,,FGAA
BRRBRPCTF002,,,26/02/2021 a 08/03/2021,2021-03-11,2021-02-19,BRRBRPCTF002,SUBSCRICAO,2021-02-19,,RBRP
BRELDOCTF002,,,31/01/2017 a 02/02/2017,2017-02-09,2016-12-23,BRELDOCTF002,SUBSCRICAO,2016-12-23,,ELDO
BRBTSICTF001,,,31/12/9999 a 22/02/2022,2022-02-25,2022-02-07,BRBTSICTF001,SUBSCRICAO,2022-02-10,,BTSI
BRFLCRCTF004,,,31/12/9999 a 17/01/2022,2022-01-20,2021-12-20,BRFLCRCTF004,SUBSCRICAO,2022-01-03,,FLCR
BRHGICCTF009,,,31/12/9999 a 05/04/2022,2022-04-08,2022-03-15,BRHGICCTF009,SUBSCRICAO,2022-03-21,,HGIC
BRHGRUCTF002,,,31/12/9999 a 14/10/2020,2020-10-19,2020-09-25,BRHGRUCTF002,SUBSCRICAO,2020-09-25,,HGRU
BRHFOFCTF002,,,31/12/9999 a 28/10/2022,2022-11-03,2022-10-13,BRHFOFCTF002,SUBSCRICAO,2022-10-18,,HFOF
BRHFOFCTF002,,,31/12/9999 a 05/05/2022,2022-05-10,2022-04-19,BRHFOFCTF002,SUBSCRICAO,2022-04-25,,HFOF
BRMCHYCTF004,,,31/12/9999 a 08/02/2022,2022-02-11,2022-01-24,BRMCHYCTF004,SUBSCRICAO,2022-01-27,,MCHY
BRARCTCTF008,,,31/12/9999 a 19/05/2022,2022-05-24,2022-05-05,BRARCTCTF008,SUBSCRICAO,2022-05-09,,ARCT
BRCTXTCTF014,,,31/12/9999 a 28/12/2022,2023-01-03,2022-12-09,BRCTXTCTF014,SUBSCRICAO,2022-12-15,,CTXT
BRVRTACTF008,,,17/10/2022 a 25/10/2022,2022-10-28,2022-10-07,BRVRTACTF008,SUBSCRICAO,2022-10-13,,VRTA
BRIRIMCTF003,,,31/12/9999 a 29/03/2022,2022-04-01,2022-03-07,BRIRIMCTF003,SUBSCRICAO,2022-03-16,,IRIM
BRFVPQCTF015,,,20/03/2017 a 22/03/2017,2017-03-29,2017-02-17,BRFVPQCTF015,SUBSCRICAO,2017-03-14,,FVPQ
BRABCPCTF000,,,16/06/2011 a 08/07/2011,2011-07-15,2010-12-08,BRABCPCTF000,SUBSCRICAO,2011-06-15,,ABCP
BRHOSICTF009,,,31/12/9999 a 14/07/2021,2021-07-19,2021-06-25,BRHOSICTF009,SUBSCRICAO,2021-06-30,,HOSI
BRRBRLCTF001,,,31/12/9999 a 11/03/2021,2021-03-16,2021-02-24,BRRBRLCTF001,SUBSCRICAO,2021-02-24,,RBRL
BRGGRCCTF002,,,31/12/9999 a 29/11/2022,2022-12-02,2022-11-01,BRGGRCCTF002,SUBSCRICAO,2022-11-09,,GGRC
BRSNFFCTF001,,,31/12/9999 a 02/09/2022,2022-09-08,2022-08-18,BRSNFFCTF001,SUBSCRICAO,2022-08-23,,SNFF
BRHABTCTF001,,,17/05/2022 a 25/05/2022,2022-05-30,2022-04-01,BRHABTCTF001,SUBSCRICAO,2022-05-13,,HABT
