assetIssued,percentage,priceUnit,tradingPeriod,subscriptionDate,approvedOn,isinCode,label,lastDatePrior,remarks,code
BRCNESCTF001,,,20/10/2016 a 26/10/2016,2016-11-03,2016-10-13,BRCNESCTF001,SUBSCRICAO,2016-10-14,,CNES
BRHAAACTF003,,,31/12/9999 a 02/07/2021,2021-07-07,2021-06-17,BRHAAACTF003,SUBSCRICAO,2021-06-22,,HAAA
BRBRHTCTF005,,,31/12/9999 a 31/12/9999,,2018-04-20,BRBRHTCTF005,SUBSCRICAO,2018-05-10,,BRHT
BRTEPPCTF006,,,31/12/9999 a 02/12/2020,2020-12-07,2020-11-16,BRTEPPCTF006,SUBSCRICAO,2020-11-19,,TEPP
BRRBEDCTF006,,,31/12/9999 a 06/09/2022,2022-09-12,2022-08-22,BRRBEDCTF006,SUBSCRICAO,2022-08-25,,RBED
BRJTPRCTF001,,,31/12/9999 a 27/10/2017,2017-11-06,2017-06-01,BRJTPRCTF001,SUBSCRICAO,2017-10-13,,JTPR
BRSARECTF006,,,31/12/9999 a 28/05/2021,2021-06-02,2021-04-06,BRSARECTF006,SUBSCRICAO,2021-05-13,,SARE
BRVGIPCTF002,,,31/12/9999 a 04/05/2022,2022-05-09,2022-04-20,BRVGIPCTF002,SUBSCRICAO,2022-04-22,,VGIP
BRAPTOCTF007,,,31/12/9999 a 17/01/2023,2023-01-20,2022-12-29,BRAPTOCTF007,SUBSCRICAO,2023-01-04,,APTO
BRGALGCTF009,,,25/11/2022 a 06/12/2022,2022-12-09,2022-10-24,BRGALGCTF009,SUBSCRICAO,2022-11-23,,GALG
BRKNCACTF006,,,18/11/2022 a 29/11/2022,2022-12-02,2022-09-28,BRKNCACTF006,SUBSCRICAO,2022-11-16,,KNCA
BRKNCACTF006,,,19/05/2022 a 27/05/2022,2022-06-01,2022-03-31,BRKNCACTF006,SUBSCRICAO,2022-05-17,,KNCA
